cancer,track,eval_mode,ensemble_method,row_count,spearman,pearson,rmse,mae,r2,ndcg_at_30,available_modality_count_mean,used_modalities,missing_modalities,strict_leakage_violation
brca,2C_numeric_smiles_context,holdout,robust_weighted,1546,0.7871409658384021,0.851622664890127,1.382272875813566,1.0521642953720267,0.7210184458273201,0.9040230476381738,3.0,DL|Graph|ML,,False
crc,2B_numeric_smiles,cv,robust_weighted,9692,0.790584139110602,0.854058503582786,1.4296982716525877,1.0770477264107188,0.7241657631828433,0.8565437493178852,3.0,DL|Graph|ML,,False
luad,2C_numeric_smiles_context,holdout,simple_mean,25086,0.8251360732968256,0.8782288906231868,1.337167177111309,1.0058754464177142,0.7608115051738485,0.863064181103956,2.0,DL|ML,Graph,False
stad,2C_numeric_smiles_context,holdout,robust_weighted,1024,0.7901643574266042,0.8464612819889308,1.5592360988188976,1.1769086475439492,0.6967886987358889,0.9294141687458507,3.0,DL|Graph|ML,,False
