iter	RMSE
269	0.9465176649
270	0.9445556662
271	0.9431217547
272	0.9422997611
273	0.9412310665
274	0.9399836173
275	0.9387056669
276	0.9374670187
277	0.9361469266
278	0.9347668109
279	0.9337643427
280	0.9330073
281	0.931860648
282	0.9307357119
283	0.9293237391
284	0.9278136431
285	0.9269945848
286	0.9258527666
287	0.9249407616
288	0.9235459814
289	0.9225909133
290	0.9219386938
291	0.9212085954
292	0.9199043941
293	0.9186349223
294	0.9175802807
295	0.9166027571
296	0.915782518
297	0.9142293622
298	0.9130013512
299	0.9118614651
300	0.9105405752
301	0.9094450472
302	0.9088103631
303	0.9079433858
304	0.9068061685
305	0.906326406
306	0.9054159058
307	0.904069538
308	0.9030354739
309	0.9020619201
310	0.9010822581
311	0.8996648293
312	0.8989660976
313	0.8980842733
314	0.8970261695
315	0.8959984222
316	0.8946406759
317	0.8936796812
318	0.8920507832
319	0.8912834845
320	0.8906161009
321	0.8889762813
322	0.8877546085
323	0.8868211815
324	0.8858914265
325	0.8849748215
326	0.8840632109
327	0.8830947528
328	0.8822361329
329	0.8813581432
330	0.8804341449
331	0.8797115022
332	0.8786556538
333	0.8775765735
334	0.8765464043
335	0.8755836787
336	0.8745276219
337	0.8737897027
338	0.8729148889
339	0.8715315225
340	0.8703063238
341	0.8692976657
342	0.8678832372
343	0.8669057674
344	0.866170016
345	0.865327903
346	0.8644400879
347	0.8636359519
348	0.8627552291
349	0.8618103181
350	0.8610634213
351	0.8599727235
352	0.8594777477
353	0.8583016564
354	0.8570165575
355	0.8561523763
356	0.8552700522
357	0.8539608134
358	0.8531895448
359	0.8521457265
360	0.8510891829
361	0.8504733026
362	0.8496616635
363	0.8485556677
364	0.8474129496
365	0.8463284682
366	0.8452167924
367	0.8440274573
368	0.8433213266
369	0.8422229797
370	0.8412611648
371	0.8397637398
372	0.8396646312
373	0.8395597904
374	0.8388767942
375	0.837996646
376	0.837126426
377	0.836301164
378	0.8354736326
379	0.8341468586
380	0.8335582362
381	0.8328137514
382	0.8327873033
383	0.8326698401
384	0.8317050252
385	0.8305182716
386	0.8297993148
387	0.8295720783
388	0.828873412
389	0.8277957898
390	0.8271442276
391	0.82651624
392	0.8257196664
393	0.8248762462
394	0.8242361389
395	0.8232123599
396	0.823053673
397	0.8217669293
398	0.8210057907
399	0.8198145119
400	0.8191009344
401	0.8181310148
402	0.8177083988
403	0.8169031517
404	0.8161534972
405	0.8153859936
406	0.8144572704
407	0.8136041537
408	0.812807567
409	0.8120493454
410	0.8113390062
411	0.8106252478
412	0.8094536956
413	0.8087095575
414	0.8086869333
415	0.8079055883
416	0.8071209764
417	0.8060486921
418	0.8050553208
419	0.8042261393
420	0.8031016519
421	0.8024417418
422	0.8023064808
423	0.8015650627
424	0.8008252249
425	0.7996150338
426	0.7990601069
427	0.7980838536
428	0.7979272899
429	0.7968643691
430	0.7962648837
431	0.795339781
432	0.7943711402
433	0.793667211
434	0.7936408426
435	0.7929026987
436	0.7922455567
437	0.7913947695
438	0.790790051
439	0.7898331087
440	0.788959368
441	0.7881828676
442	0.7881569677
443	0.7873529888
444	0.786586904
445	0.7855059632
446	0.7849531801
447	0.7839002396
448	0.7833566792
449	0.7823733084
450	0.7817411548
451	0.7810536443
452	0.7800771134
453	0.7794837223
454	0.7787809809
455	0.7782403958
456	0.7775941745
457	0.776705949
458	0.7760146011
459	0.7755088454
460	0.7744791454
461	0.7736255622
462	0.7727121321
463	0.7722568147
464	0.7711655418
465	0.7705750553
466	0.7700587813
467	0.769327039
468	0.7685937396
469	0.7678290957
470	0.7668325313
471	0.7661234056
472	0.7652036694
473	0.7643722899
474	0.7637365764
475	0.7629839854
476	0.762085512
477	0.7613995048
478	0.7608999824
479	0.7601957942
480	0.7594765367
481	0.7589390197
482	0.7582207665
483	0.7573778994
484	0.7567159906
485	0.7561687515
486	0.755552344
487	0.7548486387
488	0.7541079083
489	0.7540875026
490	0.7533087442
491	0.7524914996
492	0.7515193557
493	0.7508646716
494	0.7504575675
495	0.7495999721
496	0.7489628377
497	0.7482302844
498	0.7472519197
499	0.7465882494
500	0.7455280927
501	0.7447319804
502	0.7441764049
503	0.7435576468
504	0.7427975489
505	0.7419237085
506	0.7413309401
507	0.7406355931
508	0.7397236723
509	0.7389463214
510	0.7383713556
511	0.737508049
512	0.7367381553
513	0.7361405776
514	0.7353325553
515	0.7348234021
516	0.7340470361
517	0.7331854851
518	0.7325130475
519	0.7317289
520	0.7312972415
521	0.7305025406
522	0.7299710524
523	0.7291619043
524	0.7286458852
525	0.7278399313
526	0.7273365161
527	0.7268895905
528	0.7261808721
529	0.7253435056
530	0.7247332719
531	0.7238091309
532	0.7232713808
533	0.7226608689
534	0.7226047294
535	0.7220376913
536	0.7212976159
537	0.7208732462
538	0.7208562427
539	0.7204132893
540	0.719396377
541	0.7189245534
542	0.7182762469
543	0.7176342727
544	0.7165854731
545	0.71600576
546	0.7159580217
547	0.7153691061
548	0.7146154549
549	0.7136918287
550	0.7127819026
551	0.7120464183
552	0.7116418013
553	0.7109395906
554	0.710924176
555	0.7099951464
556	0.7096002389
557	0.7091562728
558	0.708719865
559	0.7079516368
560	0.7072946708
561	0.7065813131
562	0.7060322973
563	0.705190835
564	0.7041888257
565	0.7037597038
566	0.7032347821
567	0.7026058155
568	0.7021308529
569	0.7012342485
570	0.7011152086
571	0.7003782498
572	0.6998762562
573	0.6989596469
574	0.698249476
575	0.6975355549
576	0.6969779373
577	0.696284582
578	0.6957506419
579	0.6951028783
580	0.6940118176
581	0.6933883352
582	0.692854842
583	0.6921385525
584	0.6916594716
585	0.6910718803
586	0.6905661675
587	0.6896031486
588	0.6888781409
589	0.6884232041
590	0.6878647224
591	0.6873269192
592	0.6864119699
593	0.6857590338
594	0.6849612611
595	0.684109754
596	0.6834492696
597	0.6826403965
598	0.6821853267
599	0.6817423293
600	0.6811954893
601	0.6803738399
602	0.679772805
603	0.6789146456
604	0.67817411
605	0.6776268637
606	0.6770825685
607	0.67626312
608	0.6756315405
609	0.6749243917
610	0.6744648357
611	0.6744411658
612	0.6735473184
613	0.6730237214
614	0.6726391775
615	0.6722666228
616	0.6716187925
617	0.6710222971
618	0.6704316413
619	0.6704194926
620	0.6697334306
621	0.6697165574
622	0.6689617373
623	0.6685282943
624	0.6679258107
625	0.6670964183
626	0.6663394294
627	0.6657104489
628	0.6650905507
629	0.6642013863
630	0.6638617831
631	0.6633852519
632	0.6627995758
633	0.6622833434
634	0.6616609752
635	0.661093622
636	0.660460463
637	0.6598725133
638	0.6591971839
639	0.6587003442
640	0.6579613025
641	0.6573769417
642	0.6568338734
643	0.6563807264
644	0.6556350499
645	0.6550424119
646	0.6544891725
647	0.6538328099
648	0.653378936
649	0.6527501021
650	0.6522094239
651	0.6516539119
652	0.6510517504
653	0.6505908049
654	0.6500053536
655	0.6499745991
656	0.6491340122
657	0.6486275741
658	0.64861708
659	0.6477851164
660	0.6470900766
661	0.6466133108
662	0.6460167215
663	0.6455675978
664	0.6450832153
665	0.6445112152
666	0.6436864134
667	0.6432055108
668	0.6429887982
669	0.6421133836
670	0.6414691624
671	0.6409594516
672	0.6402593503
673	0.6396574195
674	0.6390847394
675	0.6387366184
676	0.6380656693
677	0.6380535549
678	0.6374147082
679	0.6373895781
680	0.6368626791
681	0.6366242954
682	0.6361069294
683	0.6355008561
684	0.6350674033
685	0.6343511184
686	0.6338986827
687	0.633248748
688	0.632482273
689	0.6317834961
690	0.6311032829
691	0.6304754875
692	0.6298057426
693	0.6292840693
694	0.6288669072
695	0.6283473936
696	0.6279238018
697	0.6274176241
698	0.6269273323
699	0.6265455295
700	0.6259281989
701	0.6255036825
702	0.6249784816
703	0.624304853
704	0.6236840422
705	0.6231037072
706	0.6226152861
707	0.6222921214
708	0.6217992666
709	0.6213863804
710	0.6209190336
711	0.6208530455
712	0.6203509324
713	0.619792847
714	0.619468571
715	0.6189513788
716	0.6186239744
717	0.61861164
718	0.6180886609
719	0.6175535
720	0.6170816712
721	0.6165963862
722	0.6160513363
723	0.6154982658
724	0.6150062033
725	0.6146572691
726	0.6139275598
727	0.6136943586
728	0.6129175493
729	0.6123702623
730	0.6116885874
731	0.6109482079
732	0.6109396767
733	0.6109281019
734	0.6103539402
735	0.6099188872
736	0.6091380548
737	0.608477315
738	0.608168158
739	0.6074932195
740	0.6070339971
741	0.6065266072
742	0.6059203429
743	0.6059044436
744	0.6053110526
745	0.6049142125
746	0.6044287463
747	0.6038362054
748	0.6031969111
749	0.6028881517
750	0.6028775761
751	0.6021936845
752	0.6016213807
753	0.6010174523
754	0.6005528345
755	0.6002312203
756	0.599785146
757	0.5992612521
758	0.5988533471
759	0.5984138391
760	0.5979849415
761	0.5976186058
762	0.5971725315
763	0.5966078386
764	0.5956511791
765	0.5951932775
766	0.5949219941
767	0.5942941596
768	0.5937779556
769	0.593381075
770	0.5928180174
771	0.5922688823
772	0.5918468114
773	0.5912348319
774	0.5907260959
775	0.5903208043
776	0.589650856
777	0.5893287011
778	0.588865237
779	0.5886915255
780	0.5882224014
781	0.5876024102
782	0.5871068235
783	0.5870768338
784	0.5865201322
785	0.585930206
786	0.585302962
787	0.585016339
788	0.5847143339
789	0.5840261483
790	0.5836549821
791	0.5831532106
792	0.5826095768
793	0.5820621164
794	0.5815383845
795	0.5809112724
796	0.5806548005
797	0.5802566745
798	0.5796334635
799	0.5791841119
800	0.5785167597
801	0.5781467756
802	0.5776925365
803	0.5770837397
804	0.5766496231
805	0.5761959671
806	0.5755125804
807	0.575150796
808	0.5747038515
809	0.5746702676
810	0.5745423235
811	0.5740097169
812	0.573281504
813	0.5729013716
814	0.5722796669
815	0.5717397309
816	0.571341048
817	0.5708607985
818	0.5704224376
819	0.5699930298
820	0.5695114672
821	0.5690899616
822	0.5686482894
823	0.5681299843
824	0.5678949663
825	0.5674906749
826	0.5670528792
827	0.5666047707
828	0.5660318746
829	0.5656000898
830	0.5650377014
831	0.5644686763
832	0.5642314754
833	0.5639303034
834	0.563295721
835	0.5627088212
836	0.5621178649
837	0.5615557174
838	0.5610289349
839	0.5607835259
840	0.560337787
841	0.5598629078
842	0.559841354
843	0.5592729308
844	0.5589274532
845	0.5584476056
846	0.5580805846
847	0.5576013046
848	0.5575927367
849	0.5571526845
850	0.5567366753
851	0.5562279318
852	0.5557161139
853	0.5552315479
854	0.5547004694
855	0.5544213989
856	0.5540200917
857	0.553739369
858	0.5533408101
859	0.5530463716
860	0.5526633311
861	0.5521988656
862	0.551886968
863	0.5513835797
864	0.5509966375
865	0.5503362522
866	0.5501488826
867	0.5495897864
868	0.5492693188
869	0.5488306763
870	0.5485715943
871	0.5480428046
872	0.5477131633
873	0.5473015954
874	0.5467898617
875	0.5463107983
876	0.5458516884
877	0.5454210493
878	0.5450732992
879	0.5447003754
880	0.544334717
881	0.5441392356
882	0.5436764876
883	0.5432007979
884	0.5428827197
885	0.5425799381
886	0.5421532321
887	0.5417683654
888	0.5413308404
889	0.5407896551
890	0.5405040706
891	0.5401810599
892	0.5396231149
893	0.5391619595
894	0.5387263132
895	0.5383287988
896	0.5378400759
897	0.5375961869
898	0.5373419992
899	0.5369293545
900	0.5364924293
901	0.5360467882
902	0.5355740331
903	0.5351504134
904	0.5347398121
905	0.5341289537
906	0.5336407322
907	0.5332040174
908	0.5327268088
909	0.5323913809
910	0.5320170326
911	0.5316331518
912	0.5312399702
913	0.5308435369
914	0.5303916284
915	0.5298945594
916	0.529404622
917	0.5289464944
918	0.5284804058
919	0.5281111908
920	0.5276007583
921	0.5275770211
922	0.5272918246
923	0.5269025726
924	0.5265505031
925	0.5259457909
926	0.5253382134
927	0.5252813691
928	0.5247702849
929	0.5242223053
930	0.5236532531
931	0.5231390864
932	0.5227017717
933	0.5223001911
934	0.5217533444
935	0.5213752396
936	0.5209758329
937	0.5205524559
938	0.5201384116
939	0.5197607825
940	0.5192974052
941	0.5190218846
942	0.5185549954
943	0.5180149239
944	0.5177135364
945	0.5173607117
946	0.517077206
947	0.5166479282
948	0.5161492173
949	0.5158377213
950	0.5154983976
951	0.51517907
952	0.514802671
953	0.5144509044
954	0.5141029748
955	0.5136636184
956	0.5132921959
957	0.5128486202
958	0.5128412378
959	0.5124143707
960	0.5120103786
961	0.5114827527
962	0.510853033
963	0.5104602601
964	0.5100697089
965	0.5096424301
966	0.5092685375
967	0.5088472388
968	0.5084755936
969	0.5080835113
970	0.5077220561
971	0.5072775752
972	0.5068727266
973	0.5064104617
974	0.505960351
975	0.5055567865
976	0.5050964331
977	0.5048078404
978	0.5044291907
979	0.5040405798
980	0.5036329491
981	0.5031558056
982	0.5025322866
983	0.5021770403
984	0.5017862885
985	0.5017644465
986	0.5012994664
987	0.5008826247
988	0.500460884
989	0.5001410425
990	0.4996805225
991	0.4993648487
992	0.4988576519
993	0.4984227755
994	0.4980143587
995	0.4974334816
996	0.4971188264
997	0.4967122615
998	0.4963568617
999	0.4960330783
