iter	Passed	Remaining
624	20763	12458
625	20798	12425
626	20832	12392
627	20863	12358
628	20896	12325
629	20932	12293
630	20966	12261
631	20996	12225
632	21027	12191
633	21061	12158
634	21094	12125
635	21126	12091
636	21162	12059
637	21244	12053
638	21282	12023
639	21311	11987
640	21343	11953
641	21377	11920
642	21412	11888
643	21445	11854
644	21477	11821
645	21510	11787
646	21543	11753
647	21575	11719
648	21603	11683
649	21631	11647
650	21664	11614
651	21696	11580
652	21728	11546
653	21760	11512
654	21803	11484
655	21838	11451
656	21875	11420
657	21909	11387
658	21937	11351
659	21971	11318
660	22002	11284
661	22032	11249
662	22065	11215
663	22101	11184
664	22136	11151
665	22168	11117
666	22200	11083
667	22229	11048
668	22258	11012
669	22293	10980
670	22327	10947
671	22356	10911
672	22388	10878
673	22423	10845
674	22458	10813
675	22487	10778
676	22517	10743
677	22547	10708
678	22578	10674
679	22605	10637
680	22636	10603
681	22666	10568
682	22700	10535
683	22731	10501
684	22761	10466
685	22791	10432
686	22823	10398
687	22857	10365
688	22892	10333
689	22927	10300
690	22960	10267
691	22991	10233
692	23028	10201
693	23061	10168
694	23092	10134
695	23124	10100
696	23156	10066
697	23189	10033
698	23221	9999
699	23258	9968
700	23293	9935
701	23324	9901
702	23357	9868
703	23393	9835
704	23428	9803
705	23461	9770
706	23493	9736
707	23526	9702
708	23559	9669
709	23591	9636
710	23623	9602
711	23652	9567
712	23686	9534
713	23720	9501
714	23753	9468
715	23785	9434
716	23819	9401
717	23848	9366
718	23884	9334
719	23922	9303
720	23962	9272
721	23998	9240
722	24063	9219
723	24107	9190
724	24142	9157
725	24174	9123
726	24206	9090
727	24236	9055
728	24267	9021
729	24298	8987
730	24331	8953
731	24363	8919
732	24389	8884
733	24417	8848
734	24453	8816
735	24484	8782
736	24515	8748
737	24551	8716
738	24581	8681
739	24613	8647
740	24647	8614
741	24677	8580
742	24709	8546
743	24736	8511
744	24767	8477
745	24800	8444
746	24834	8411
747	24868	8378
748	24900	8344
749	24931	8310
750	24959	8275
751	24994	8242
752	25025	8208
753	25060	8176
754	25092	8142
755	25122	8108
756	25152	8074
757	25186	8040
758	25215	8006
759	25250	7973
760	25285	7941
761	25315	7906
762	25350	7874
763	25389	7842
764	25422	7809
765	25460	7777
766	25492	7744
767	25527	7711
768	25563	7678
769	25595	7645
770	25630	7612
771	25663	7579
772	25700	7547
773	25733	7514
774	25767	7480
775	25799	7447
776	25832	7413
777	25866	7380
778	25896	7346
779	25922	7311
780	25954	7277
781	25986	7244
782	26015	7209
783	26041	7174
784	26071	7140
785	26101	7106
786	26133	7072
787	26162	7038
788	26190	7004
789	26222	6970
790	26252	6936
791	26282	6902
792	26316	6869
793	26349	6836
794	26382	6803
795	26417	6770
796	26449	6736
797	26480	6702
798	26512	6669
799	26541	6635
800	26575	6602
801	26606	6568
802	26636	6534
803	26670	6501
804	26705	6469
805	26735	6435
806	26770	6402
807	26806	6369
808	26836	6336
809	26864	6301
810	26894	6267
811	26925	6234
812	26957	6200
813	26989	6167
814	27024	6134
815	27057	6101
816	27089	6067
817	27122	6034
818	27151	6000
819	27182	5966
820	27213	5933
821	27245	5899
822	27277	5866
823	27314	5834
824	27343	5800
825	27376	5767
826	27409	5733
827	27441	5700
828	27473	5667
829	27507	5634
830	27539	5600
831	27571	5567
832	27603	5533
833	27635	5500
834	27666	5466
835	27699	5433
836	27732	5400
837	27764	5367
838	27792	5333
839	27823	5299
840	27857	5266
841	27887	5232
842	27915	5199
843	27950	5166
844	27980	5132
845	28017	5100
846	28046	5066
847	28079	5033
848	28104	4998
849	28138	4965
850	28167	4931
851	28203	4899
852	28236	4865
853	28265	4832
854	28299	4799
855	28332	4766
856	28362	4732
857	28396	4699
858	28428	4666
859	28458	4632
860	28491	4599
861	28526	4566
862	28559	4533
863	28590	4500
864	28622	4467
865	28657	4434
866	28684	4400
867	28720	4367
868	28751	4334
869	28784	4301
870	28814	4267
871	28851	4235
872	28882	4201
873	28919	4169
874	28952	4136
875	28981	4102
876	29017	4069
877	29050	4036
878	29082	4003
879	29112	3969
880	29147	3937
881	29176	3903
882	29209	3870
883	29241	3837
884	29272	3803
885	29303	3770
886	29336	3737
887	29372	3704
888	29404	3671
889	29439	3638
890	29472	3605
891	29502	3572
892	29585	3544
893	29615	3511
894	29651	3478
895	29680	3445
896	29713	3411
897	29746	3378
898	29775	3345
899	29808	3312
900	29843	3279
901	29876	3245
902	29911	3213
903	29941	3179
904	29973	3146
905	30008	3113
906	30042	3080
907	30073	3047
908	30105	3013
909	30138	2980
910	30172	2947
911	30204	2914
912	30234	2881
913	30264	2847
914	30298	2814
915	30331	2781
916	30368	2748
917	30402	2715
918	30442	2683
919	30477	2650
920	30518	2617
921	30552	2584
922	30589	2551
923	30627	2519
924	30664	2486
925	30707	2453
926	30746	2421
927	30779	2388
928	30843	2357
929	30912	2326
930	30949	2293
931	30980	2260
932	31010	2226
933	31040	2193
934	31073	2160
935	31104	2126
936	31133	2093
937	31164	2059
938	31195	2026
939	31225	1993
940	31256	1959
941	31288	1926
942	31320	1893
943	31355	1860
944	31386	1826
945	31413	1793
946	31444	1759
947	31474	1726
948	31507	1693
949	31538	1659
950	31569	1626
951	31599	1593
952	31631	1559
953	31661	1526
954	31694	1493
955	31727	1460
956	31758	1426
957	31792	1393
958	31823	1360
959	31857	1327
960	31891	1294
961	31933	1261
962	31970	1228
963	32008	1195
964	32038	1162
965	32069	1128
966	32100	1095
967	32133	1062
968	32166	1029
969	32198	995
970	32231	962
971	32260	929
972	32290	896
973	32322	862
974	32355	829
975	32385	796
976	32418	763
977	32449	729
978	32481	696
979	32511	663
980	32543	630
981	32573	597
982	32606	563
983	32636	530
984	32670	497
985	32696	464
986	32729	431
987	32761	397
988	32794	364
989	32828	331
990	32860	298
991	32891	265
992	32922	232
993	32953	198
994	32986	165
995	33019	132
996	33048	99
997	33080	66
998	33113	33
999	33147	0
