drug_id,drug_name,category,safety_score,verdict,final_recommendation,n_total_matches,n_exact,n_close_analog,n_analog,ensemble_pred,single_pred,mean_true_ic50,sensitivity_rate,smiles,mw,logp,hbd,hba,tpsa,rotatable_bonds
1237,EPZ004777,B,119.119,PASS,CANDIDATE,4,3,0,1,2.6746281902564086,2.3814963549375534,3.152737333333333,0.4583333333333333,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O,335.40700000000004,4.473320000000005,1,4,60.03,2
1799,Ibrutinib,C,111.89599999999999,PASS,CANDIDATE,3,3,0,0,2.530991626293464,2.4756606703712825,2.6509626666666666,0.7619047619047619,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,263.2,-1.2886,3,7,110.60000000000001,2
1558,Lapatinib,A,98.67699999999999,PASS,APPROVED,3,3,0,0,2.672739925777773,2.418420268141705,2.410253739130435,0.6521739130434783,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,282.37200000000007,4.023680000000002,1,5,61.07,3
1017,Olaparib,A,24.121999999999996,PASS,APPROVED,2,0,0,2,2.3778000310208154,2.557436928153038,2.7337221666666665,0.5,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,1415.5760000000005,-7.703580000000035,20,31,627.0700000000002,35
1917,AZD6738,C,9.515,PASS,CANDIDATE,2,0,0,2,2.6968719700936528,2.511896600946784,2.1595656521739133,0.5217391304347826,CC1COCCN1C2=NC(=NC(=C2)C3(CC3)S(=N)(=O)C)C4=CN=CC5=C4C=CN5,492.0040000000002,5.533960000000005,2,7,92.4,4
1378,Bleomycin (50 uM),B,7.829,PASS,CANDIDATE,1,0,0,1,2.574570926061685,2.739567682856605,2.8882648095238097,0.4761904761904761,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,356.3820000000001,2.1325799999999995,2,7,119.49000000000001,7
1819,Docetaxel,A,7.454999999999999,PASS,APPROVED,10,2,2,6,2.2965553976856996,2.227046524360776,1.9879891,0.7,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C.O.O.O,296.32599999999996,2.8171999999999997,2,4,63.489999999999995,4
1190,Gemcitabine,A,5.05,WARNING,APPROVED,2,2,0,0,2.701958433731402,2.5197992945710816,1.6234134583333333,0.7083333333333334,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,183.163,-0.17790000000000017,0,4,63.68,3
1621,PCI-34051,B,5.0,WARNING,CANDIDATE,0,0,0,0,2.5876735889195044,2.3629007542675193,1.7653395000000005,0.6818181818181818,COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO,539.6810000000004,2.852400000000001,5,9,150.79,9
1581,Bromosporine,B,5.0,WARNING,CANDIDATE,0,0,0,0,2.60584679681739,2.3213657311030795,2.142649190476191,0.7142857142857143,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C,509.7390000000006,5.835500000000007,1,7,62.75000000000001,10
