rank,canonical_drug_id,pred_ic50_mean,pred_ic50_std,pred_ic50_min,pred_ic50_max,n_samples,n_celllines,DRUG_ID,DRUG_NAME,TARGET,TARGET_PATHWAY,SYNONYMS
1,1080,-0.5681769362327035,1.2772603090206407,-3.581920498426582,4.188168195903359,486,292,1080,Paclitaxel,Microtubule stabiliser,Mitosis,"BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane"
2,1811,-0.4862226730255907,0.7722885133399954,-2.7957556791352376,2.486835862665429,390,249,1811,Dactinomycin,RNA polymerase,Other,Actinomycin D
3,1039,-0.1037654193352981,1.0483324299048218,-1.7278171779137868,3.438653724328101,89,68,1039,SL0101,"RSK, AURKB, PIM1, PIM3","Other, kinases","SL-0101, SL 0101-1"
4,1511,0.268622970109531,1.044461527228462,-3.2541686198779045,4.253478512115544,486,292,1511,Epirubicin,Anthracycline,DNA replication,"Ellence, Farmorubicin, IMI-28"
5,1808,0.5304977433098609,1.3509109796005003,-2.9550994273561546,4.773842882242118,390,249,1808,Topotecan,TOP1,DNA replication,
6,1819,0.5850131647836839,0.7839996589074271,-1.7157539802337434,3.8330242903928617,369,241,1819,Docetaxel,Microtubule stabiliser,Mitosis,"RP-56976, Taxotere"
7,1626,0.662281453064777,0.9407676872410252,-1.9614555619748852,4.132073885787636,461,284,1626,OTX015,"BRD2, BRD3, BRD4",Chromatin other,"Birabresib, OTX-015, MK-8628"
8,1054,0.7103216653583512,1.0170349263207186,-2.483311769432744,4.441549090412201,489,295,1054,Palbociclib,"CDK4, CDK6",Cell cycle,"PD0332991, PD-0332991, PF-00080665-73"
9,1911,0.7361276435668097,1.1020191154603638,-2.542627118418096,4.643655238456693,480,288,1911,Dactinomycin,RNA polymerase,Other,"Actinomycin D, Cosmegen, Lyovac, Meractinomycin, Ac-De, ActD"
10,1910,0.7643679422008993,0.9436570260670618,-1.5989996510131874,4.424972019246981,485,292,1910,ABT737,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",Apoptosis regulation,
11,1809,0.8286761887776659,0.9232463370580064,-2.133086877626848,4.22779986367506,390,249,1809,Teniposide,,DNA replication,Vumon
12,1802,0.8758405569893063,0.7890167432584811,-1.379778197085205,4.134316596748619,390,249,1802,Zoledronate, ,Other,"Zoledronic acid, Zometa, Reclast"
13,1072,0.8878668825333711,0.9829035372046288,-1.927686242251646,4.229023396531426,484,292,1072,Avagacestat,"Amyloid beta20, Amyloid beta40",Other,"BMS-708163, BMS 708163"
14,1810,1.0223043698570806,0.980253966018988,-1.7637690044261358,5.144663822005267,390,249,1810,Mitoxantrone,TOP2,DNA replication,
15,1908,1.0690536482919102,0.8074560450237063,-1.209584068504459,4.398590527938508,486,292,1908,Ulixertinib,"ERK1, ERK2",ERK MAPK signaling,"BVD-523, VRT752271"
16,1007,1.1361731335171907,0.8662525055800616,-1.2578278319302028,4.601176048384581,489,295,1007,Docetaxel,Microtubule stabiliser,Mitosis,"RP-56976, Taxotere"
17,2002,1.1972222512413149,0.8048787190560622,-1.0688071524061646,4.445918016406966,401,250,2002,N30652-18-1,,Unclassified,
18,1593,1.2383682496453432,1.084062846518778,-2.394066102837966,4.968762645905731,463,285,1593,Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation,MS-275
19,2048,1.2473345910682765,0.8920303805385854,-1.785844873087446,4.4516785981297025,480,291,2048,Vinorelbine,Microtubule destabiliser,Mitosis,"vinorelbine tartrate, Navelbine, Exelbine"
20,1084,1.2514343809264517,1.088017904545994,-1.969715461314359,5.4592038264065215,478,290,1084,Rapamycin,MTORC1,PI3K/MTOR signaling,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune"
21,1051,1.2635536914621497,1.0285519879175835,-1.8976027072605612,5.247036022956831,480,290,1051,Alisertib,AURKA,Mitosis,MLN8237
22,1237,1.2818166803970443,0.8119453962843813,-1.1912231757409175,4.289512664287337,487,293,1237,EPZ004777,DOT1L,Chromatin histone methylation,EPZ-004777
23,1922,1.305183110994645,0.9438064099359794,-2.133675277721257,4.634170893649239,486,292,1922,Cediranib,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",RTK signaling,"AZD2171, AZD 2171, AZD-2171, Recentin"
24,1096,1.3637499233370365,0.914671490591062,-1.07502406318633,4.416100565259684,116,87,1096,Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis,"MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68"
25,1940,1.367544502371529,0.7356116999281267,-0.8937459508390644,4.376929042401347,485,291,1940,WIKI4,"TNKS1, TNKS2",WNT signaling,"WIKI-4, WIKI 4"
26,1917,1.4625333296980323,0.9476175626410152,-1.1056796808667455,4.773779625528192,486,292,1917,AZD6738,ATR,Genome integrity,"AZD 6738, AZD-6738"
27,1091,1.5148106953937268,0.993233399864764,-1.3485880392474092,4.809186261117935,486,292,1091,BMS-536924,"IGF1R, IR",IGF1R signaling,BMS 536924
28,1613,1.526538571699027,0.8779564466737438,-1.5434620732318427,5.000700348793251,462,284,1613,VE-822,ATR,Genome integrity,"VE 822, VE822, Berzosertib"
29,1843,1.548202285657691,0.8947643715260842,-0.8657756659538318,5.129373785446122,390,249,1843,LMP744,TOP1,DNA replication,MJ-III-65
30,2011,1.553178924439743,0.7635664408338969,-0.9349389280971852,4.365342988193001,399,250,2011,ICL-SIRT078,SIR2,Other,
