cancer,final_rank_by_cancer,final_rank_overall,canonical_drug_id,drug_name,score_approved_ind,score_clinical_trial,n_clinicaltrials_studies_total,fda_approved_cancer_based,fda_approved_gastric_proxy,admet_status_22assay,drug_repurposing_category,recommendation_stage_code,recommendation_stage_label_ko,recommendation_stage_rule,repurposing_tier3_code,repurposing_tier3_ko,repurposing_tier3_rule,final_priority_score,final_recommendation_tier,admet_tier,ev_composite_0_10
crc,6,6,2498,alpha-lipoic acid,0,1,2,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.48,Watchlist,A,1.0
crc,7,7,1931,MIRA-1,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.27,Backup,C,1.0
crc,8,8,1557,LCL161,0,1,1,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.165,Hold,D,1.0
crc,9,9,1017,Olaparib,0,1,8,False,False,PASS,indication_expansion_candidate,stage1_transition_standard,1단계 약물,ADMET_PASS_and_(FDA_APPROVED_GASTRIC_PROXY_or_CT>=3),legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.27,Backup,C,1.0
crc,10,10,1799,Ibrutinib,0,1,2,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.165,Hold,D,1.0
crc,11,11,1802,Zoledronate,0,1,1,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,1.0,3단계 약물,WARNING,1.0
crc,12,12,1598,LGK974,0,1,2,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,1.0,3단계 약물,WARNING,1.0
crc,13,13,1175,Rucaparib,0,1,3,False,False,PASS,indication_expansion_candidate,stage1_transition_standard,1단계 약물,ADMET_PASS_and_(FDA_APPROVED_GASTRIC_PROXY_or_CT>=3),legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.165,Hold,D,1.0
crc,14,14,2359,GSK2830371,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.0,3단계 약물,WARNING,0.0
crc,15,15,1131,PRIMA-1MET,0,0,0,False,False,WARNING,needs_manual_review,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.0,3단계 약물,WARNING,0.0
luad,1,1,1578,Leflunomide,2,1,1,True,True,WARNING,current_use_same_cancer,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.66,Priority 2,C,7.0
