cancer,rank,canonical_drug_id,drug_name_x,canonical_smiles_x,score_clinical_trial_x,score_approved_ind_x,score_ext_response,score_disease_relevance,score_literature_moa,score_cancer_plausibility,target_moa_recovery_bonus,caveat_penalty,ev_composite_0_10_x,n_clinicaltrials_studies_total_x,chembl_molecule_chembl_id,target_recovered,moa_recovered,ev_ready,graph_luad_caveat,mandatory_caveat,rank_step5,drug_level_score,integrated_mean_of_three,G2_n_cells,G1_n_cells,flag_conflict_LN_divergent,flag_conflict_AUC_divergent,gdsc_response_score,prism_n_values,sensitivity_percentile_within_cancer_x,prism_response_evidence_score,prism_match_type,prism_manual_review_mapping_flag,ctrp_n_values,sensitivity_percentile_within_cancer_y,ctrp_response_evidence_score,ctrp_match_type,manual_review,prism_response_score,ctrp_response_score_if_available,combined_external_response_score,score_ext_response_old,ctrp_partial_evidence_flag,ctrp_partial_evidence_note,external_response_sources_available,external_response_source_count,response_conflict_caveat,ev_composite_0_10_old,ev_delta_from_multiresponse,ev_selected_rank,drug_name_y,canonical_smiles_y,ev_composite_0_10_y,score_approved_ind_y,score_clinical_trial_y,n_clinicaltrials_studies_total_y,fda_approved_cancer_based,drug_name,canonical_smiles,ev_composite_0_10,score_approved_ind,score_clinical_trial,n_clinicaltrials_studies_total,admet_status_22assay,recommendation_stage_code,recommendation_stage_label_ko,recommendation_stage_rule,protocol_stage_rank_within_top30,selected_top15,cutoff_reason
brca,11,1629,ML323,CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,0,0,1,0,0,0,0,0.0,1.0,0,,,,True,False,,22.0,4.9590344846802275,56.610169491525426,45.0,,False,,1,248.0,25.0,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,1,0,False,,gdsc|prism,2,False,0.0,1.0,11,ML323,CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,1.0,0,0,0,False,ML323,CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,1.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,11,True,selected_top15_by_step7_protocol_rank
brca,24,1925,GDC0810,CCC(=C(C1=CC=C(C=C1)C=CC(=O)O)C2=CC3=C(C=C2)NN=C3)C4=C(C=C(C=C4)F)Cl,1,0,0,0,0,0,0,0.0,1.0,4,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,12,GDC0810,CCC(=C(C1=CC=C(C=C1)C=CC(=O)O)C2=CC3=C(C=C2)NN=C3)C4=C(C=C(C=C4)F)Cl,1.0,0,1,4,False,GDC0810,CCC(=C(C1=CC=C(C=C1)C=CC(=O)O)C2=CC3=C(C=C2)NN=C3)C4=C(C=C(C=C4)F)Cl,1.0,0,1,4,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,12,True,selected_top15_by_step7_protocol_rank
brca,3,1615,CZC24832,CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C(=C2)F,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,6.0,5.6441292000986065,28.24858757062147,45.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,0.0,0.0,13,CZC24832,CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C(=C2)F,0.0,0,0,0,False,CZC24832,CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C(=C2)F,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,13,True,selected_top15_by_step7_protocol_rank
brca,9,2360,THR-101,CC1=CC=CC=C1N2C(=O)C3=C(S2)C=C(C=C3)F,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,16.0,5.044570273561187,32.881355932203384,44.0,,False,,0,344.0,40.0,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,0.0,0.0,14,THR-101,CC1=CC=CC=C1N2C(=O)C3=C(S2)C=C(C=C3)F,0.0,0,0,0,False,THR-101,CC1=CC=CC=C1N2C(=O)C3=C(S2)C=C(C=C3)F,0.0,0,0,0,PASS,stage2_evidence_review,2단계 약물,ADMET_PASS_and_not_stage1,14,True,selected_top15_by_step7_protocol_rank
brca,12,1237,EPZ004777,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,23.0,4.924561685558328,30.395480225988695,50.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,0.0,0.0,15,EPZ004777,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O,0.0,0,0,0,False,EPZ004777,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,15,True,selected_top15_by_step7_protocol_rank
brca,13,2157,A-366,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,24.0,4.892389032863082,22.14689265536723,43.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,0.0,0.0,16,A-366,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,0.0,0,0,0,False,A-366,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,16,False,not_selected_stage3_warning_priority
brca,14,1621,PCI-34051,COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,27.0,4.8517929294592745,24.632768361581924,45.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,0.0,0.0,17,PCI-34051,COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO,0.0,0,0,0,False,PCI-34051,COC1=CC=C(C=C1)CN2C=CC3=C2C=C(C=C3)C(=O)NO,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,17,False,not_selected_stage3_warning_priority
brca,16,1047,Nutlin-3a (-),CC(C)OC1=C(C=CC(=C1)OC)C2=NC(C(N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,18,Nutlin-3a (-),CC(C)OC1=C(C=CC(=C1)OC)C2=NC(C(N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,0.0,0,0,0,False,Nutlin-3a (-),CC(C)OC1=C(C=CC(=C1)OC)C2=NC(C(N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,18,False,not_selected_stage3_warning_priority
brca,17,1614,WZ4003,CCC(=O)NC1=CC(=CC=C1)OC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCN(CC4)C)OC,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,19,WZ4003,CCC(=O)NC1=CC(=CC=C1)OC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCN(CC4)C)OC,0.0,0,0,0,False,WZ4003,CCC(=O)NC1=CC(=CC=C1)OC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCN(CC4)C)OC,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,19,False,not_selected_stage3_warning_priority
brca,18,1036,PLX-4720,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,0.0,0.0,20,PLX-4720,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,0.0,0,0,0,False,PLX-4720,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,0.0,0,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,20,False,not_selected_stage3_warning_priority
