modality,cancer,track,model,eval_mode,combo_dir,config_profile,resume_policy,core_mean_spearman,core_mean_pearson,core_mean_kendall_tau,core_mean_rmse,core_mean_mae,core_mean_r2,overfit_spearman_gap,overfit_fold_std,overfit_train_spearman,overfit_test_spearman,overfit_train_rmse,overfit_test_rmse,ranking_mean_ndcg_at_30,ranking_mean_precision_at_30,split_leakage_drug_overlap_count,split_leakage_scaffold_overlap_count,split_leakage_drug_overlap_rate,split_leakage_scaffold_overlap_rate,label_drift_mean_diff,label_drift_ks_statistic,label_drift_ks_pvalue,imputation_summary_present,imputation_scope,nan_imputation_applied,has_leakage_violation,has_ranking_mean,has_label_drift_mean
ML,stad,2A_numeric,XGBoost,scaffoldcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/XGBoost/scaffoldcv,existing_result,,0.2267452649001388,0.21581830084323883,0.157073148816741,2.6886335030405264,2.0568233331044516,0.038710594177246094,0.017356989703969667,0.01765368358476234,0.24410225460410848,0.2267452649001388,2.6706799375993513,2.6886335030405264,0.12991849244454054,0.4000000000000001,0.0,0.0,0.0,0.0,-1.5894571940104166e-07,0.06359906213364595,0.2670644613945835,False,,,False,True,True
ML,stad,2A_numeric,XGBoost,holdout,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/XGBoost/holdout,existing_result,,0.22460195248983986,0.20065206289291382,0.15539667638442775,2.7803186293032027,2.111088752746582,0.03592514991760254,0.02278811345404777,0.0,0.24739006594388763,0.22460195248983986,2.6479362080891176,2.7803186293032027,0.04205824005213715,0.36666666666666664,273.0,201.0,0.9927272727272727,0.9901477832512315,0.20017170906066895,0.0381870763617489,0.17794058997625264,False,,,False,True,True
ML,stad,2A_numeric,XGBoost,groupcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/XGBoost/groupcv,existing_result,,0.230756284863908,0.22518406311670938,0.15859484822898282,2.6836713675034276,2.042758305867513,0.04685219128926595,0.01634927621296985,0.009538169319014174,0.24710556107687787,0.230756284863908,2.6707285835628376,2.6836713675034276,0.03957458651122661,0.3444444444444444,0.0,11.333333333333334,0.0,0.1425891181988743,0.0,0.05441578741695976,0.0649787877285624,False,,,False,True,True
ML,stad,2A_numeric,XGBoost,unseen_drug,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/XGBoost/unseen_drug,existing_result,,0.23829576381385673,0.23882977664470673,0.16385616689616378,2.7876532918750683,2.145674467086792,0.0452650785446167,0.00739516612806454,0.0,0.24569092994192127,0.23829576381385673,2.646812277887308,2.7876532918750683,0.2417142696797907,0.4,0.0,10.0,0.0,0.20408163265306123,0.29152750968933105,0.060903648380308824,0.0053776829816946595,False,,,False,True,True
ML,stad,2A_numeric,XGBoost,cv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/XGBoost/cv,existing_result,,0.2132896694354267,0.20157893498738608,0.14660608617554607,2.698334281691611,2.0512399673461914,0.03718189398447672,0.03756240141725045,0.020454543721188025,0.2508520708526772,0.2132896694354267,2.667679576218069,2.698334281691611,0.015531112470852293,0.22222222222222224,280.3333333333333,205.33333333333334,0.9836459182748936,0.9778147405517075,7.947285970052083e-08,0.027256740914419694,0.4247109412075425,False,,,False,True,True
ML,stad,2A_numeric,RandomForest,scaffoldcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/RandomForest/scaffoldcv,existing_result,,0.22743700239127004,0.2163908900170682,0.15754443898070167,2.6890267970149875,2.058456044077412,0.0383911278750327,0.016097656190867986,0.018703612766737716,0.243534658582138,0.22743700239127004,2.6704863960251504,2.6890267970149875,0.13110092456587522,0.4000000000000001,0.0,0.0,0.0,0.0,-1.5894571940104166e-07,0.06359906213364595,0.2670644613945835,False,,,False,True,True
ML,stad,2A_numeric,RandomForest,holdout,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/RandomForest/holdout,existing_result,,0.22345375272991047,0.2005711040466695,0.15428401851904422,2.7815624167926543,2.1120108331270746,0.035062372324129676,0.023268063644632464,0.0,0.24672181637454293,0.22345375272991047,2.6476151337005933,2.7815624167926543,0.043710755558945436,0.3,273.0,201.0,0.9927272727272727,0.9901477832512315,0.20017170906066895,0.0381870763617489,0.17794058997625264,False,,,False,True,True
ML,stad,2A_numeric,RandomForest,groupcv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/RandomForest/groupcv,existing_result,,0.23021540280514274,0.22497773815303168,0.158166352516829,2.683882919062776,2.0429713900761777,0.04669675035179751,0.017087585792450455,0.00980379419983254,0.24730298859759317,0.23021540280514274,2.6704959569274074,2.683882919062776,0.03791783050483746,0.3222222222222222,0.0,11.333333333333334,0.0,0.1425891181988743,0.0,0.05441578741695976,0.0649787877285624,False,,,False,True,True
ML,stad,2A_numeric,RandomForest,unseen_drug,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/RandomForest/unseen_drug,existing_result,,0.23920629354249884,0.23826265528330864,0.16449528967214247,2.7875710626193997,2.1463830238840664,0.04532139217179476,0.006164809717373654,0.0,0.2453711032598725,0.23920629354249884,2.6466437700733594,2.7875710626193997,0.22091137508993072,0.4,0.0,10.0,0.0,0.20408163265306123,0.29152750968933105,0.060903648380308824,0.0053776829816946595,False,,,False,True,True
ML,stad,2A_numeric,RandomForest,cv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2A_numeric/RandomForest/cv,existing_result,,0.213776486369796,0.2021844162882738,0.14695776749141845,2.6989945352634357,2.052579893538706,0.03671701098097372,0.0366330034585143,0.01942856475682651,0.2504094898283103,0.213776486369796,2.667514031658982,2.6989945352634357,0.01618519339859134,0.25555555555555554,280.3333333333333,205.33333333333334,0.9836459182748936,0.9778147405517075,7.947285970052083e-08,0.027256740914419694,0.4247109412075425,False,,,False,True,True
