modality,cancer,track,model,eval_mode,overfit_spearman_gap,overfit_fold_std,overfit_level,combo_dir
ML,stad,2B_numeric_smiles,ExtraTrees,scaffoldcv,0.5238124313807452,0.10187397810099813,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/ExtraTrees/scaffoldcv
ML,stad,2B_numeric_smiles,ExtraTrees,groupcv,0.5520679920505313,0.1028570662401728,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/ExtraTrees/groupcv
ML,stad,2B_numeric_smiles,ExtraTrees,unseen_drug,0.5531961051905946,0.0,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/ExtraTrees/unseen_drug
ML,stad,2B_numeric_smiles,LightGBM,scaffoldcv,0.502012874761653,0.0916318705706414,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/LightGBM/scaffoldcv
ML,stad,2B_numeric_smiles,LightGBM,groupcv,0.3896349344667556,0.06299910899975808,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/LightGBM/groupcv
ML,stad,2B_numeric_smiles,LightGBM,unseen_drug,0.3905718823701564,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/LightGBM/unseen_drug
ML,stad,2B_numeric_smiles,CatBoost,scaffoldcv,0.39632186742178455,0.11627069541951361,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/CatBoost/scaffoldcv
ML,stad,2B_numeric_smiles,CatBoost,groupcv,0.35801923121081075,0.09839915722716114,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/CatBoost/groupcv
ML,stad,2B_numeric_smiles,CatBoost,unseen_drug,0.4014069435014013,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/CatBoost/unseen_drug
ML,luad,2C_numeric_smiles_context,XGBoost,scaffoldcv,0.3534552988914217,0.07544824581080263,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/scaffoldcv
ML,luad,2C_numeric_smiles_context,XGBoost,groupcv,0.369249015908498,0.03677480153795744,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/groupcv
ML,luad,2C_numeric_smiles_context,XGBoost,unseen_drug,0.33402758343292427,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/luad/2C_numeric_smiles_context/XGBoost/unseen_drug
