ensemble_method,mean_spearman,mean_rmse,mean_mae,mean_ndcg30,std_spearman,primary_spearman,primary_rmse,primary_mae,primary_ndcg30,count,stability_score
rank_mean,0.46870001049529547,3.5744862316052037,3.123347319766857,0.3317005142825592,0.21076162402361176,0.3724180133254572,3.591551314294719,3.1322922184982382,0.1690619560061798,60,0.85
robust_weighted,0.465021749713241,2.25038586527434,1.7068912228404456,0.3292810720285881,0.21255856150017366,0.36576947131342813,2.5259221316417384,1.9192831067551088,0.16231315609591868,60,0.3485361648301153
simple_mean,0.46274743430282955,2.257983808481902,1.7121010414893496,0.3312498616371678,0.21287690392999822,0.36215913111675613,2.5396132356971446,1.9293899654043338,0.16471238093224824,60,0.21939939098716435
