modality,mean_base_weight,mean_effective_weight,severe_rate,warning_rate,combos
ML,0.5530381943191341,0.4977343748872208,0.06666666666666667,0.4,60
DL,0.5232131095571009,0.4682757330536053,0.08333333333333333,0.4,60
Graph,0.4239427574069187,0.37900482512178535,0.1,0.38,50
