cancer,rank,canonical_drug_id,drug_name,canonical_smiles,score_clinical_trial,score_approved_ind,score_ext_response,score_disease_relevance,score_literature_moa,score_cancer_plausibility,target_moa_recovery_bonus,caveat_penalty,ev_composite_0_10,n_clinicaltrials_studies_total,chembl_molecule_chembl_id,target_recovered,moa_recovered,ev_ready,graph_luad_caveat,mandatory_caveat,admet_set_tier,selection_basis,internal_rank_backup_note
crc,4,2359,GSK2830371,CC1=C(C=C(C=N1)Cl)NCC2=CC=C(S2)C(=O)NC(CC3CCCC3)C(=O)NC4CC4,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
crc,7,2043,BIBR-1532,CC(=CC(=O)NC1=CC=CC=C1C(=O)O)C2=CC3=CC=CC=C3C=C2,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
crc,8,1131,PRIMA-1MET,COCC1(CO)N2CCC(CC2)C1=O,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
luad,3,1018,Veliparib,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,2,1,0,0,1,2,1,0.5,6.0,15,CHEMBL506871,CHEMBL3390820,"PARP 1, 2 and 3 inhibitor (target CHEMBL3390820)",True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
luad,6,1578,Leflunomide,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,1,2,0,0,1,2,1,0.5,6.0,1,CHEMBL960,CHEMBL1966,Dihydroorotate dehydrogenase inhibitor (target CHEMBL1966),True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
luad,12,1033,Vismodegib,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,1,2,0,0,1,2,1,0.5,6.0,4,CHEMBL473417,CHEMBL5971,Smoothened homolog inhibitor (target CHEMBL5971),True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
luad,2,1814,Nelarabine,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0,2,0,0,1,2,1,0.5,5.0,0,CHEMBL1201112,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
luad,1,2499,N-acetyl cysteine,CC(=O)N[C@@H](CS)C(O)=O,2,0,0,0,0,0,0,0.5,1.0,6,,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
luad,4,1563,EPZ5676,CC(C)N(CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)C4CC(C4)CCC5=NC6=C(N5)C=C(C=C6)C(C)(C)C,0,0,0,0,0,0,0,0.5,-1.0,0,,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
luad,5,1620,PFI3,C1C2CN(C1CN2C3=CC=CC=N3)C=CC(=O)C4=CC=CC=C4O,0,0,0,0,0,0,0,0.5,-1.0,0,,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
luad,7,2057,Remodelin,C1CCC(=NNC2=NC(=CS2)C3=CC=C(C=C3)C#N)C1,0,0,0,0,0,0,0,0.5,-1.0,0,,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
luad,8,1048,Mirin,N=C1NC(=O)/C(=C/c2ccc(O)cc2)S1,0,0,0,0,0,0,0,0.5,-1.0,0,CHEMBL570841,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
luad,9,2107,LJI308,C1COCCN1C2=CC=C(C=C2)C3=C(C=NC=C3)C4=CC(=C(C(=C4)F)O)F,0,0,0,0,0,0,0,0.5,-1.0,0,,,,True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
stad,2,1815,Dacarbazine,CN(C)/N=N/c1[nH]cnc1C(N)=O,2,2,0,0,1,2,1,0.0,8.0,9,CHEMBL476,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
stad,13,1816,Fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,1,2,0,0,2,2,1,0.0,8.0,4,CHEMBL1358,"CHEMBL206, CHEMBL206",Estrogen receptor alpha antagonist (target CHEMBL206); Estrogen receptor degrader (target CHEMBL206),True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
stad,10,1175,Rucaparib,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,1,2,0,0,1,2,1,0.0,7.0,4,CHEMBL1173055,CHEMBL3390820,"PARP 1, 2 and 3 inhibitor (target CHEMBL3390820)",True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
stad,6,1029,Motesanib,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,0,1,0,0,2,2,1,0.0,6.0,0,CHEMBL572881,"CHEMBL1936, CHEMBL2041, CHEMBL2095227, CHEMBL2095189",Stem cell growth factor receptor inhibitor (target CHEMBL1936); Tyrosine-protein kinase receptor RET inhibitor (target CHEMBL2041); Vascular endothelial growth factor receptor inhibitor (target CHEMBL2095227); Platelet-derived growth factor receptor inhibitor (target CHEMBL2095189),True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
stad,7,1009,Tretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0,2,0,0,1,2,1,0.0,6.0,0,CHEMBL705,CHEMBL2363071,Retinoid receptor agonist (target CHEMBL2363071),True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
stad,5,1042,Doramapimod,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,0,1,0,0,1,2,1,0.0,5.0,0,CHEMBL103667,CHEMBL260,MAP kinase p38 alpha inhibitor (target CHEMBL260),True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
stad,1,2439,glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,0,0,0,0,0,0,0,0.0,0.0,0,CHEMBL145213,,,True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
stad,3,1025,SB216763,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
stad,4,1852,LY2109761,C1CC2=C(C(=NN2C1)C3=CC=CC=N3)C4=C5C=CC(=CC5=NC=C4)OCCN6CCOCC6,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
stad,8,1449,AZD1208,NC1CCCN(c2c(/C=C3/SC(=O)NC3=O)cccc2-c2ccccc2)C1,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,primary_top10,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
